referencia,autor,anio,edicion,capitulo,metodo,problema,supuestos,criterio_decision,modulo,codigo,estado,procedencia
—,DSA del FMI; no-Ponzi; Blanchard 2019 (menciones),2013,—,—,sostenibilidad: sp* vs techo; b_max=sp_max(1+g)/(r−g),¿cuánta deuda cabe — y bajo estrés?,"sp_max exógeno; r,g sin retro de b","b_max=cruce exacto; base sostenible; el estrés (r+2,g−1) voltea el veredicto; sp* lineal en b",simuladores/macro/modelos,nivel_09/m65_sostenibilidad.py,implementado+validado (4 verificaciones),conocimiento general; estrés paramétrico: decisión de diseño
—,balances estructurales OCDE/FMI; regla chilena y peruana (menciones),2001,—,—,déficit estructural vs cíclico: obs=est−ε·brecha,¿el déficit del titular es decisión o ciclo?,ε lineal estable; brecha observable (niebla de m16),descomposición exacta; brecha 0⇒obs=est; el boom esconde (obs<est); estabilizadores lineales,simuladores/macro/modelos,nivel_09/m66_deficit_fiscal.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,Barro 1974; Ricardo; Blanchard OLG 1985 (menciones),1974,—,—,equivalencia ricardiana con ruptura λ (mano a boca),¿la deuda pública es riqueza?,ricardianos ven el VP; impuestos de suma fija,λ=0: ΔC=0 y compensación total EXACTA; VP=dT a cualquier r; ruptura lineal en λ; ΔS_nac=−ΔC,simuladores/macro/modelos,nivel_09/m67_equivalencia_ricardiana.py,implementado+validado (4 verificaciones),conocimiento general
—,Gavin-Perotti 1997; Talvi-Végh; Frankel et al. (menciones),1997,—,—,política contracíclica: f=φ(−brecha) con asimetría (ratchet),¿suavizar el ciclo sin arruinarse?,ciclo determinista; mult constante; espacio fiscal dado,atenuación |1−mult·φ| EXACTA; simétrica⇒deuda de ciclo 0 exacta; ratchet⇒escalera exacta; procíclica amplifica,simuladores/macro/modelos,nivel_09/m68_politica_contraciclica.py,implementado+validado (4 verificaciones),mecánica didáctica (decisión de diseño); evidencia de prociclicidad: menciones
—,Alesina-Ardagna vs Blanchard-Leigh 2013 (menciones),2013,—,—,austeridad: b1=(b0−dA)/(1−mult·dA/100); mult*=100/b0,¿puede el ajuste SUBIR la deuda/PIB?,efecto de una vez; mult exógeno; sin canal confianza,"mult*=100/b0 exacto e independiente de dA; paradoja verificada (b0 alto, mult alto); el CUÁNDO decide; deuda baja inmune",simuladores/macro/modelos,nivel_09/m69_austeridad.py,implementado+validado (4 verificaciones),álgebra de m64 (decisión de diseño); debate: menciones
—,Ramey 2019; Blanchard-Leigh 2013; Ilzetzki et al. 2013; Auerbach-Gorodnichenko 2012 (menciones),2019,—,—,multiplicadores condicionales al estado (predictor por factores),"¿cuánto vale un sol de gasto, de verdad?",factores multiplicativos independientes; NO estimación,"el ZLB apaga al BC (interacción exacta); apertura come; Perú<1<ZLB; rango acotado [0.2,2.0]",simuladores/macro/modelos,nivel_09/m70_multiplicadores.py,implementado+validado (4 verificaciones),factores didácticos DECLARADOS calibrados a rangos de literatura (menciones); no son estimaciones
—,Adrian-Shin (leverage procíclico); Minsky; Shleifer-Vishny (menciones),2010,—,—,crisis financiera: balance apalancado,¿por qué una caída pequeña borra todo el capital?,deuda de valor fijo; shock exógeno; un intermediario,"ΔE/E=−shock·λ exacto; insolvencia sii shock≥1/λ; desapalancar exige vender (contractivo); sin shock, sin ventas",simuladores/macro/modelos,nivel_10/m71_crisis_financiera.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,Gordon; Blanchard-Watson 1982; Shiller; Tirole (menciones),1982,—,—,burbuja de activos racional,¿puede el precio despegarse del fundamental sin irracionalidad?,Gordon con r>g_d; burbuja racional; estallido exógeno,fundamental d/(r−g_d) exacto; burbuja crece (1+r)/(1−q)>r; arbitraje (1−q)g−1=r; vuelve al fundamental al estallar,simuladores/macro/modelos,nivel_10/m72_burbuja_activos.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,Diamond-Dybvig 1983 (Nobel 2022) (mención),1983,—,—,corrida bancaria: dos equilibrios,¿por qué un banco solvente quiebra por miedo?,banco solvente; servicio secuencial; sin backstop,DOS equilibrios sobre los mismos fundamentos; activos ilíquidos empeoran el pánico; reservas amortiguan; el seguro elimina el pánico SIN costo,simuladores/macro/modelos,nivel_10/m73_crisis_bancaria.py,implementado+validado (4 verificaciones),conocimiento general (es m37 en reversa); calibración didáctica
—,Krugman 1979; Flood-Garber; Obstfeld 1994 (menciones),1979,—,—,crisis cambiaria: 1ª/2ª/3ª generación,¿por qué las paridades caen de golpe con reservas aún en el banco?,fuga por fundamentos; defensa hasta agotar; ataque racional que anticipa,el ataque anticipa al agotamiento (T−h); quedan reservas al atacar (es expectativa); más reservas retrasan no evitan; más fuga adelanta,simuladores/macro/modelos,nivel_10/m74_crisis_cambiaria.py,implementado+validado (4 verificaciones),conocimiento general (el trilema m50 con expectativas); calibración didáctica
—,"Calvo 1998 (EN BIBLIOTECA, sin verificar); Calvo-Izquierdo-Mejía (menciones)",1998,—,—,sudden stop: freno de capitales,¿qué pasa cuando el mundo deja de prestar de golpe?,flotación (CC=−CF); transables comprometidos con deuda; corte exógeno,ΔCC=−ΔCF exacto (el ajuste no se elige); el gasto colapsa exactamente ΔCF; el golpe se concentra en no transables; la reversión duplica al freno,simuladores/macro/modelos,nivel_10/m75_sudden_stop.py,implementado+validado (4 verificaciones),"Calvo 1998 y Globalización financiera 2002 en biblioteca, pendiente verificación; calibración didáctica"
—,Calvo 1988; Cole-Kehoe (zona de crisis); Draghi (menciones),1988,—,—,crisis de deuda soberana: zona de crisis,"¿por qué dos países idénticos, uno paga poco y otro cae en default?",dos tasas según la creencia; κ exógena; salto por zonas,"zona de crisis b∈[b_pánico,b_seguro] con DOS equilibrios; umbrales ordenados; deuda baja=solo bueno (inmune); deuda altísima=insolvencia genuina",simuladores/macro/modelos,nivel_10/m76_crisis_deuda.py,implementado+validado (4 verificaciones),conocimiento general (m73 aplicado al Tesoro); calibración didáctica
—,enfoque monetario de la BdP (Polak/FMI); relacionado con Krugman 1979 (menciones),1977,—,—,crisis de balanza de pagos,¿por qué un fijo sobrevaluado siempre termina en devaluación?,paridad fija defendida con reservas; CC crónica exógena; devalúa al piso,identidad de reservas exacta (m43 en el tiempo); las reservas tocan el piso (fecha calculable); corregir el RER (m46) posterga/evita; financiamiento retrasa no cura,simuladores/macro/modelos,nivel_10/m77_crisis_balanza_pagos.py,implementado+validado (4 verificaciones),conocimiento general (integra m43+m46+m75); calibración didáctica
—,síntesis de m64+m69+m76; Reinhart-Rogoff (menciones),2010,—,—,trampa de deuda: lazos endógenos,¿por qué hay deudas de las que no se sale ajustando?,"lazos lineales (prima∝b, daño a g∝sp); sin default parcial; g exógeno salvo daño",r>g con sp insuficiente ⇒ diverge; los lazos amplifican la divergencia; crecer (g>r) salva; reestructurar resetea la aritmética,simuladores/macro/modelos,nivel_10/m78_trampa_deuda.py,implementado+validado (4 verificaciones),"decisión de diseño sobre m64/m69/m76; taxonomía crecer/licuar/reestructurar (Reinhart-Rogoff, mención)"
—,"Bernanke-Gertler-Gilchrist; Kiyotaki-Moore 1997 (EN BIBLIOTECA, sin verificar) (menciones)",1997,—,—,acelerador financiero: la espiral,¿por qué un shock pequeño hunde la economía real?,impacto de precio lineal; λ constante en la espiral; sin backstop,suma de rondas=shock/(1−κ) (geométrica); κ=λ²·impacto amplifica; κ≥1 espiral sin fondo (colapso); λ bajo la apaga (Basilea),simuladores/macro/modelos,nivel_10/m79_recesion_financiera.py,implementado+validado (4 verificaciones),"Kiyotaki-Moore Credit Cycles 1997 en biblioteca, pendiente verificación; es m04 con signo invertido; calibración didáctica"
—,Gai-Kapadia 2010; Acemoglu-Ozdaglar-Tahbaz-Salehi 2015; Allen-Gale (menciones),2010,—,—,crisis sistémica: contagio en red,¿por qué la quiebra de uno tumba al sistema?,red circular simple; contagio solo por exposición directa; capital homogéneo,contagio sii exposición>capital; más capital frena la cascada (Basilea III); resolución ordenada aísla; poca conexión contiene (robust-yet-fragile),simuladores/macro/modelos,nivel_10/m80_crisis_sistemica.py,implementado+validado (4 verificaciones; CIERRE TEÓRICO TRONCAL),conocimiento general; la estabilidad como bien público; calibración didáctica
—,Guerrieri-Lorenzoni-Straub-Werning (Keynesian supply shocks); debate Summers-Blanchard (menciones),2020,—,—,COVID: doble shock oferta+demanda,¿por qué 2020 desinfló y 2021 infló?,shocks exógenos (confinamiento); motor AD-AS m52,el doble shock hunde Y; demanda dominante⇒desinflación (2020); oferta+estímulo⇒inflación (2021); recuperación en V,simuladores/macro/modelos,nivel_11/m81_covid.py + _episodio.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,OPEP 1973/1979; Hamilton (menciones),1973,—,—,shock petrolero: estanflación,¿por qué el petróleo sube π y baja Y a la vez?,importador neto; motor m52; respuesta como demanda,estanflación (π↑ Y↓); acomodar (Burns) eleva Y media pagando π; resistir (Volcker) contiene π con más recesión; persistente>transitorio,simuladores/macro/modelos,nivel_11/m82_shock_petrolero.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,mecánica de m19 con IPC ponderado; Primavera Árabe (menciones),2011,—,—,shock de alimentos,¿por qué golpea más a un país pobre?,peso de alimentos en IPC (40% vs 10%),peso amplifica; contribución=shock×peso exacta; regresivo; transitorio revierte con ancla,simuladores/macro/modelos,nivel_11/m83_shock_alimentos.py,implementado+validado (4 verificaciones),conocimiento general; Perú=m113; calibración didáctica
—,Krugman-Taylor; Krugman 1999 (balance sheet); Calvo-Reinhart 2002 (fear of floating) (menciones),1999,—,—,devaluación expansiva o contractiva,¿devaluar estimula o hunde?,dos canales opuestos lineales; sin cobertura natural,baja dolarización⇒expansiva (m49); alta⇒contractiva (m71/m74); neto cero en dolar*=γ/β; cualquier dolarización reduce el beneficio (fear of floating),simuladores/macro/modelos,nivel_11/m84_devaluacion.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,Taylor 2000 (passthrough y baja inflación) (mención),2000,—,—,inflación importada y passthrough,¿por qué el sol se deprecia sin desatar inflación?,passthrough lineal; endógeno a credibilidad,Δπ=passthrough×dev×peso exacto; credibilidad baja el passthrough; sin ancla >4× más; passthrough bajo rompe la espiral m14,simuladores/macro/modelos,nivel_11/m85_inflacion_importada.py,implementado+validado (4 verificaciones),conocimiento general; Perú=m113; calibración didáctica
—,"UIP (m48), trilema (m50); Rey 2013 (dilema no trilema); taper tantrum 2013 (menciones)",2013,—,—,alza de la FED: dilema del emergente,¿subir la tasa (recesión) o flotar (inflación)?,defensa como continuo; sin salida desordenada; passthrough m85,no hay salida gratis (recesión O inflación); defender recesa/flotar deprecia (m50); el ancla abarata flotar; reservas dan margen,simuladores/macro/modelos,nivel_11/m86_fed.py,implementado+validado (4 verificaciones),conocimiento general; Perú=m111; calibración didáctica
—,"Calvo-Leiderman-Reinhart 1993 (push/pull); Calvo (sudden stop, m75, en biblioteca) (menciones)",1993,—,—,salida de capitales de un emergente,¿por qué huye el capital con fundamentos sanos?,CF=pull+push lineal; reservas amortiguan uno a uno,"el push domina (huye con fundamentos sanos, m75); reservas amortiguan (m50); risk-on el capital entra; fundamentos no bastan contra contagio",simuladores/macro/modelos,nivel_11/m87_salida_capitales.py,implementado+validado (4 verificaciones),conocimiento general; Perú=m111; calibración didáctica
—,Corden-Neary 1982 (enfermedad holandesa); fondos Chile/Noruega (menciones),1982,—,—,boom de materias primas,¿por qué un boom del cobre puede terminar en crisis?,componente parcialmente transitorio; sin reinversión,shock de ingreso positivo; enfermedad holandesa daña transables (m46); ahorrar el transitorio protege (m68); gastar todo maximiza exposición,simuladores/macro/modelos,nivel_11/m88_boom_materias_primas.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica; Perú=m103/m105
—,transmisión de términos de intercambio (m105); m43/m62/m10 (menciones),2014,—,—,caída del precio del cobre (preludio peruano),¿por qué golpea al Perú por tres frentes?,tres canales aditivos lineales; fondo amortigua fiscal,golpea por TRES canales (externo m43 + fiscal m62 + real m10); el fondo amortigua el fiscal (m88); sin fondo prociclicidad; más concentración más golpe,simuladores/macro/modelos,nivel_11/m89_caida_cobre.py,implementado+validado (4 verificaciones),calibración EVOCA estructura peruana (NO datos oficiales; esos en m103); conocimiento general
—,"shock tecnológico RBC (m57-m58); LRAS (m22, m29); diagnóstico m18/m19 (menciones)",1982,—,—,shock de productividad,¿por qué la respuesta es opuesta a la de demanda?,productividad persistente (mueve Y*); demanda transitoria,el shock de productividad mueve el potencial (m22); la demanda revierte; ante caída de productividad NO estimular (opuesto); permanente>transitorio (m29),simuladores/macro/modelos,nivel_11/m90_shock_productividad.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,multiplicador por régimen (m60); aritmética deuda (m63-m64); inversión pública (m106) (menciones),2009,—,—,aumento masivo del gasto público,¿cuándo vale la pena un estímulo?,multiplicador dado; servicio capitalizado a 10 años; r−g exógeno,ZLB amplifica el multiplicador (m60); productivo rinde más (m106); r<g abarata (m64); sin condiciones es contraproducente (m65),simuladores/macro/modelos,nivel_11/m91_gasto_publico.py,implementado+validado (4 verificaciones),conocimiento general; horizonte de capitalización didáctico
—,diagnóstico oferta/demanda (m18/m19/m24); inercia (m14) (menciones),1975,—,—,recesión con inflación: diagnóstico diferencial,¿oferta o demanda con inercia?,dos componentes separables; motor m52,recesión con inflación (el síntoma); oferta pura⇒estanflación m24; demanda con inercia⇒desinfla tarde m14; más inercia alarga,simuladores/macro/modelos,nivel_11/m92_recesion_inflacion.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,OPEP/Burns/Volcker; Friedman-Phelps (m14); metas (m40) (menciones),1973,—,—,estanflación: episodio de los 70,¿por qué los shocks de los 70 desataron espiral y los de hoy no?,"anclaje θ resume el régimen; dos shocks (73,79)","sin ancla θ bajo: espiral (m14); con ancla θ alto: mirar pasar (m40); acomodar convalida (Burns, m41); el 2º shock se compone sobre el 1º",simuladores/macro/modelos,nivel_11/m93_estanflacion.py,implementado+validado (4 verificaciones),conocimiento general; Perú=m99/m113; calibración didáctica
—,"Fisher 1933 (deuda-deflación); Krugman 1998 (Japón, paradoja credibilidad) (menciones)",1933,—,—,deflación y espiral de Fisher,¿por qué la deflación es peor y el banco creíble no la combate?,tasa nominal en ZLB; expectativas adaptativas,espiral deflacionaria (Fisher); la tasa real sube con ZLB (m12); forward guidance rompe la espiral (m54); paradoja de la credibilidad (Krugman),simuladores/macro/modelos,nivel_11/m94_deflacion.py,implementado+validado (4 verificaciones),conocimiento general; justifica meta positiva (m40); calibración didáctica
—,Keynes/Krugman 1998 (trampa); ZLB post-2008 Woodford-Eggertsson-Bernanke (menciones),2008,—,—,"trampa de liquidez: episodio (Japón, 2008-2015)",¿qué le queda al banco central en el ZLB?,tasa en el ZLB; eficacia de no convencionales dada,bajar la tasa inútil en el ZLB (m12); el fiscal es lo más potente (m91); QE y guidance SÍ funcionan (m54); la combinación recupera (no es impotencia),simuladores/macro/modelos,nivel_11/m95_trampa_liquidez.py,implementado+validado (4 verificaciones),"conocimiento general; Perú indirecto (push global, m111); calibración didáctica"
—,"crisis del euro (Grecia 2010-2015, Draghi 2012); Argentina (menciones); m64/m76/m78/m69",2012,—,—,"crisis de deuda soberana: episodio (Grecia, Argentina)",¿cómo se llega y cómo se sale de una crisis soberana?,prima discreta al cruzar el umbral; backstop reduce prima,"la deuda entra en la zona: la prima salta (m76); la austeridad sola no basta (Grecia, m78); el backstop coordina al bueno (Draghi); reestructurar resetea (Argentina)",simuladores/macro/modelos,nivel_11/m96_crisis_deuda_soberana.py,implementado+validado (4 verificaciones; cierre del nivel),conocimiento general; contraejemplo de la disciplina peruana (m108); calibración didáctica
"BCRP serie PN01728AM (PBI real, var% anual)",Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,"hechos estilizados del crecimiento (media, volatilidad, ciclo)",¿cómo ha crecido el Perú y con qué volatilidad?,PBI real oficial; potencial supuesto 4%,media 4.5%; boom +9.2% (2008) y COVID −10.9% (2020); superciclo > post-boom,simuladores/macro/modelos,nivel_12/m97_crecimiento_peru.py,implementado+validado (4 verificaciones),"dato BCRP PN01728AM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; contrastado (no calibrado a mano)"
"BCRP serie PN01770AM (PBI real, índice)",Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,brecha del producto (tendencia vs observado),¿cuánto se aparta el PBI de su potencial?,potencial = tendencia log-lineal; brecha = desvío,"brecha (+) en el superciclo, (−) en 2009 y 2020; cierre gradual",simuladores/macro/modelos,nivel_12/m98_pib_potencial.py,implementado+validado (4 verificaciones),"dato BCRP PN01770AM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; contrastado (no calibrado a mano)"
"BCRP serie PN01273PM (IPC, var% 12 meses)",Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,anclaje de la inflación al rango meta,¿la inflación peruana está anclada a la meta del BCRP?,meta 2% ± 1 pp; IPC oficial,"inflación media ~2.8%, casi siempre dentro de 1-3%; anclaje creíble",simuladores/macro/modelos,nivel_12/m99_inflacion_peru.py,implementado+validado (4 verificaciones),"dato BCRP PN01273PM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; contrastado (no calibrado a mano)"
BCRP series PD04722MM (tasa ref) y PN01273PM (IPC),Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,regla de Taylor estimada por MCO (honestidad econométrica),¿el BCRP sigue una regla de Taylor?,tasa nominal responde a inflación; MCO simple,"coeficiente inflación 0.55<1 → sesgo de variable omitida (omite brecha m98, usa inflación pasada m40); NO se esconde",simuladores/macro/modelos,nivel_12/m100_taylor_bcrp.py,implementado+validado (4 verificaciones),"dato BCRP PD04722MM+PN01273PM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; estimación honesta (no causalidad automática)"
BCRP series PD04722MM (tasa ref) y PN01273PM (IPC),Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,correlación tasa-inflación e interpretación causal,¿subir la tasa sube la inflación (correlación +)?,correlación contemporánea; sin rezagos ni control,"la correlación (+) es causalidad INVERSA (el BCRP sube la tasa cuando la inflación sube), no efecto de política; requiere rezagos/identificación",simuladores/macro/modelos,nivel_12/m101_tasa_inflacion.py,implementado+validado (4 verificaciones),"dato BCRP PD04722MM+PN01273PM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; correlación ≠ causalidad (regla pipeline)"
BCRP serie PN01207PM (tipo de cambio PEN/USD),Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,régimen cambiario (flotación administrada),¿qué régimen cambiario tiene el Perú?,tipo de cambio nominal; volatilidad como huella del régimen,volatilidad << flotación libre; sin quiebres de banda → flotación administrada (intervención del BCRP),simuladores/macro/modelos,nivel_12/m102_tipo_cambio.py,implementado+validado (4 verificaciones),"dato BCRP PN01207PM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; contrastado (no calibrado a mano)"
BCRP series PN01652XM (cobre LME) y PN01728AM (PBI var%),Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,canal de términos de intercambio (correlación cobre-crecimiento),"¿cuánto del crecimiento peruano explica el cobre, y es el nivel o el cambio?","precio del cobre exógeno (tomador de precio, m43); correlación descriptiva","corr(Δcobre,g)=+0.45 > corr(nivel,g)=+0.23 (importa el CAMBIO, m89); R²~0.20 (real, no destino: diversificar m112)",simuladores/macro/modelos,nivel_12/m103_cobre_crecimiento.py,implementado+validado (4 verificaciones),"dato BCRP PN01652XM+PN01728AM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; correlación descriptiva (no causalidad automática, regla pipeline)"
BCRP series PN01652XM (cobre LME) y PN01207PM (tipo de cambio),Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,canal del cobre sobre el tipo de cambio (niveles vs cambios; enfoque de activos),¿por qué en 2021 el cobre estuvo en récord y el sol se debilitó?,tipo de cambio nominal; correlación descriptiva; 2020-21 = años de fuga de capitales,"niveles engañan (corr +0.12); en cambios sin 2020-21 el canal comercial aparece (−0.45); 2021 (cobre récord + sol débil) = el TC es precio de activo, la cuenta de capitales (m111, riesgo político m74) domina",simuladores/macro/modelos,nivel_12/m104_cobre_tipo_cambio.py,implementado+validado (4 verificaciones),"dato BCRP PN01652XM+PN01207PM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; niveles vs cambios (m101); correlación descriptiva (regla pipeline)"
"BCRP series PN38923BM (términos de intercambio), PM04901AA (PBI) y PM04904AA (efecto TdI)",Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,"términos de intercambio: PBI-volumen vs ingreso real (ganancias del intercambio, SNA)",¿por qué la TdI récord de 2024 no disparó el PBI?,ingreso ≈ PBI + efecto TdI; correlación/contabilidad descriptiva,"el cobre mueve la TdI (corr 0.85); la TdI casi no mueve el PBI-volumen (corr ~0) porque el PBI mide volumen; mueve el INGRESO (superciclo 8.1% vs 6.6%; 2024 ingreso 7.5% vs PBI 3.5%, efecto +56 mil M S/)",simuladores/macro/modelos,nivel_12/m105_terminos_intercambio.py,implementado+validado (4 verificaciones),"dato BCRP PN38923BM+PM04901AA+PM04904AA, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; distinción volumen-vs-ingreso = contabilidad nacional SNA (el BCRP publica la descomposición); descriptivo (regla pipeline)"
"BCRP series PM10081FA (inversión pública, % PBI) y PN01728AM (PBI var%)",Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,inversión pública y crecimiento: endogeneidad de la política contracíclica,el Perú duplicó su inversión pública pero no correlaciona con el crecimiento: ¿no sirve?,correlación descriptiva; canales demanda (m37) y oferta (m26),"inv pública subió 2.9%→5.2% del PBI (×2); corr con crecimiento ~0/negativa (−0.07) por contraciclicidad (m69); 2009 estímulo (inv 4.5%→5.7%, PBI 9.2%→1.1%); endogeneidad, no efecto (m70)",simuladores/macro/modelos,nivel_12/m106_inversion_publica.py,implementado+validado (4 verificaciones),"dato BCRP PM10081FA+PN01728AM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; endogeneidad de política contracíclica (m69/m70); descriptivo (regla pipeline)"
BCRP series PM04933AA (exportaciones reales) y PN01728AM (PBI var%),Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,exportaciones → crecimiento (motor externo); cuándo la correlación informa,"¿cuánto del crecimiento peruano es exportador, y por qué su correlación informa y la de m106 no?","exportaciones largamente exógenas al ciclo interno (demanda mundial, m88); correlación descriptiva","corr(export, crecimiento)=+0.74, R²=0.55, pendiente 0.53 (m43); años de export cayendo → crecimiento +1.2% vs +5.5%; informa porque es EXÓGENA (contraste con m106 endógena)",simuladores/macro/modelos,nivel_12/m109_exportaciones_crecimiento.py,implementado+validado (4 verificaciones),"dato BCRP PM04933AA+PN01728AM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; snapshot anual embebido; exógeno-vs-endógeno (m70): la correlación revela causa cuando el impulsor no reacciona al ciclo; descriptivo (regla pipeline)"
BCRP series PN02207FM (gasto no financiero GG) y PM04946AA (PBI nominal),Banco Central de Reserva del Perú (BCRP),2024,muestra 2006-2024,—,multiplicador fiscal: por qué no se mide con una regresión cruda,¿cuánto PBI genera un sol de gasto público en el Perú?,"multiplicador naive sesgado por endogeneidad (m106); rango identificado citado de la literatura (m70), no estimado","gasto 17%→24% del PBI (2020 COVID); naive~0.1 (sesgado, contracíclico m106); identificado ~0.5-1 (m70, economía abierta filtra m43); CONDICIONAL (ZLB/recesión>auge, m91)",simuladores/macro/modelos,nivel_12/m107_gasto_multiplicador.py,implementado+validado (4 verificaciones),"dato BCRP PN02207FM+PM04946AA, muestra 2006-2024, descargada por connectors/bcrp 2026-08-19 (deflactado con PBI nom/real); snapshot embebido; naive del dato, rango 0.5-1 de literatura (m70, conocimiento general, NO estimado aquí)"
BCRP series PN03371FQ (deuda pública SPNF) y PM04946AA (PBI nominal),Banco Central de Reserva del Perú (BCRP),2023,muestra 2004-2023,—,sostenibilidad de la deuda: aritmética de la deuda (m64) aplicada al Perú,¿es sostenible la deuda peruana y qué hizo bien que Grecia/Argentina (m96) no?,b = deuda/PBI nominal; Δb≈b(r−g)−sp (m64); descomposición cualitativa,"deuda 44.7%(2004)→19.2%(2013, disciplina: g≫r + superávits, m66/m69)→34%(2020 COVID, m64 crisis)→32%(2023); moderada/sostenible = espacio que la disciplina compró; contraejemplo virtuoso de m96",simuladores/macro/modelos,nivel_12/m108_deuda_sostenibilidad.py,implementado+validado (4 verificaciones),"dato BCRP PN03371FQ (deuda, fin de año T4)+PM04946AA (PBI nominal), muestra 2004-2023, descargada por connectors/bcrp 2026-08-19; ratio calculado deuda/PBI nominal; aritmética de la deuda (m64); descriptivo (regla pipeline)"
"BCRP series PN01652XM (cobre), PN38923BM (términos de intercambio), PM04933AA (exportaciones), PN01728AM (PBI)",Banco Central de Reserva del Perú (BCRP),2024,muestra 2004-2024,—,shock externo: síntesis del canal comercial (m86-m89) en un índice,¿cuánto del ciclo peruano viene de afuera y todo lo malo es del mundo?,"índice = promedio de variaciones estandarizadas (síntesis del laboratorio, no oficial); correlación descriptiva","índice externo (cobre+TdI+exportaciones) corr +0.58 con crecimiento, R²~0.34 (el mundo marca gran parte, m86-m89); 2009 shock externo puro; pero 2/3 del ciclo es doméstico — 2020 precio externo↑ pero volumen↓ (minas cerradas): shock doméstico",simuladores/macro/modelos,nivel_12/m110_shock_externo.py,implementado+validado (4 verificaciones),"dato BCRP PN01652XM+PN38923BM+PM04933AA+PN01728AM, muestra 2004-2024, descargada por connectors/bcrp 2026-08-19; índice compuesto = síntesis del laboratorio (no indicador oficial); descriptivo (regla pipeline)"
BCRP PD04722MM (tasa BCRP) y PN01207PM (tipo de cambio) + tasa FED (dato público FRED),Banco Central de Reserva del Perú (BCRP); Reserva Federal de EE.UU. (FRED),2024,muestra 2004-2024,—,canal financiero externo: FED → flujos de capital → tasa y tipo de cambio del Perú (trilema m50),¿cuánto de la política monetaria y el sol peruano los decide la FED?,"cuenta de capitales abierta (m50); tasa FED ilustrativa (no descargada, FRED bloqueado)","corr(FED, tasa BCRP)=+0.54 (trilema m50: autonomía limitada); FED≈0 (2009-12)→capital entra→sol se aprecia (3.01→2.64); FED↑ (2022-23)→sol presionado; salvo 2021 (riesgo político local pesó más que la FED, m104)",simuladores/macro/modelos,nivel_12/m111_fed_capitales.py,implementado+validado (4 verificaciones),"tasa BCRP y tipo de cambio = dato BCRP real (descargado 2026-08-19); tasa FED = dato público (Reserva Federal/FRED), DECLARADO ILUSTRATIVO (no descargado, FRED con salida bloqueada); trilema m50; descriptivo (regla pipeline)"
BCRP series PM04972AA (PBI minero var%) y PN01728AM (PBI var%),Banco Central de Reserva del Perú (BCRP); participaciones INEI/BCRP,2024,muestra 2004-2024,—,minería y crecimiento: la paradoja del enclave (valor sin empleo),¿por qué la minería (13% del PBI) no genera empleo masivo y su aporte es disputado?,co-movimiento minería-PBI = dato; participaciones (PBI/export/empleo) declaradas (públicas BCRP/INEI),"PBI minero co-mueve +0.53 con el total y amplifica (más volátil); 2015-16 boom de volumen (nuevas minas); enclave: ~13% PBI, ~60% export, pero ~1.5% empleo directo → beneficio indirecto (canon m106), diversificar (m115)",simuladores/macro/modelos,nivel_12/m112_mineria_empleo.py,implementado+validado (4 verificaciones),"PBI minero PM04972AA + PBI PN01728AM = dato BCRP real (descargado 2026-08-19); participaciones ~13%/~60%/~1.5% = cifras públicas BCRP/INEI DECLARADAS (empleo exige ENAHO-INEI, no conectada); descriptivo (regla pipeline)"
